^:<name=dn3 footnote=bk>	note
13	၈။ မြက်သီးဆန် သို့မဟုတ် ဆန်တစ်မျိုးဟု အချို့မူများ၌ ပြန်၏။
14	၉။ ကဏောပိတဏ္ဍုလံ ပရိယောနန္ဓိ = ဖွဲနုသည်လည်း ဆန်ကို မြှေးရှက်၏၊ (ပါထိကဝဂ် အဂ္ဂညသုတ်) နှင့်အညီ ကဏကို ဖွဲနုဟု ပြန်သည်။
15	၁၀။ ထမင်းချိုးလည်းဟူ၏။
16	၁။ တိတ္ထိတက္ကတွန်းများ ပရိဗိုဇ်များအပြင် ဤသာသနာတော်က ဓုတင်ဆောင် ပုဂ္ဂိုလ်များကိုပါ ဆိုလိုသည်။
17	၂။ မိမိကိုယ်တိုင် ပင်ပန်းဆင်းရဲစေသည့် အတ္တကိလမထအကျင့်များ ခြိုးခြံသော ဓုတင်အကျင့်များကို ဆိုလိုသည်။
18	၁။ သီလကို လုံခြုံအောင် လုံ့လပြုသော သီလသံဝရပုဂ္ဂိုလ်ကို ဆိုလိုသည်။
19	၂။ ပလိဗောဓမှ ကင်းဝေးအောင် လုံ့လပြုသော ယောဂါဝစရပုဂ္ဂိုလ် ဈာန်ရပုဂ္ဂိုလ်နှင့် အဘိညာဉ်ရပုဂ္ဂိုလ်များကို ဆိုလိုသည်။
20	၁။ ဒုတိယဈာန်သုံးဘုံတွင် အရောင်အဝါထွက်သော ဗြဟ္မာတို့၏နေရာ တတိယဘုံ
21	၁။ ခုနစ်ပါး= သတိပဋ္ဌာန်၊ သမ္မပ္ပဓာန်၊ ဣဒ္ဓိပါဒ်၊ ဣန္ဒြေ၊ ဗိုလ်၊ ဗောဇ္ဈင်၊ မဂ္ဂင်အစုအားဖြင့် ခုနစ်ပါးတည်း။
22	၁။ ပါထိကဝဂ်ဋီကာ၌ “ဓမ္မဝိနယန္တိ ပါဝစနံ သိဒ္ဓန္တံ”ဟု ဖွင့်ပြသည်၊ နာဋ၏သား နိဂဏ္ဌ ဟောပြောသော အယူ ဝါဒနှင့် ကျင့်ဝတ်ဥပဒေများပါဝင်သည့် သိဒ္ဓန္တကျမ်းမျိုးကို ဆိုသည်။
23	၂။ ဘုရားအတုအယောင် မိစ္ဆာဝါဒီတို့၏ ဓမ္မဝိနယဖြင့် တည်ထောင်ထားအပ်သော မဂ်ဖိုလ်အကျိုးငှါမဟုတ်သော အနိယျာနိကသာသနာကို ဆိုသည်။
24	၁။ ဓမ္မ =တရား၊ ဝိနယ =အဆုံးအမ။
25	၁။ နတ်ပြည်ခြောက်ထပ်ရှိ ကာမာဝစရနတ်တို့ကို အချို့သောနတ်ဟု ဆိုသည်။
26	၂။ ဖုတ် တစ္ဆေ သူရဲစသော နာနာဘာဝသတ္တဝါတို့ကို အချို့သော ဝိနိပါတိကဟု ဆိုသည်။
27	၁။ ဤအရာ၌ ဥမာပုပ္ဖပုဒ်အနက်ကို အောက်မဲညို ပန်းထက် သာ၍ညိုသော နှမ်းကြပ်ပန်းဟု အဘိဓာန်နိသျသစ်၌ ဆို၏။
28	၁။ နတ်ပြည်ခြောက်ထပ်ရှိ ကာမာဝစရနတ်တို့ကို အချို့သောနတ်ဟု ဆိုသည်။
29	၂။ ဖုတ် တစ္ဆေ သရဲစသော နာနာဘာဝသတ္တဝါတို့ကို အချို့သော ဝိနိပါတိကဟု ဆိုသည်။
30	၁။ ဤနေရာ၌ ပါဠိတွင် ပေလျာလရှိသည်။ သင်္ဂီတိသုတ် ၂၂၀-နဝမအက္ခဏ ပါဠိတော်နှင့်အညီ ပြန်ဆိုသည်။
31	၂။ ဤအရာ၌ ဥမာပုပ္ဖပုဒ်၏ အနက်ကို အောက်မဲညိုပန်းထက်သာ၍ ညိုသော နှမ်းကြတ်ပန်းဟု အဘိဓာန်နိသျသစ်၌ ဆို၏။
