^:<name=dn2 footnote=bk>	note
23	၁။ ရဟန်းမြတ် တစ်ကျိပ်နှစ်ယောက် ဟူသည်မှာ မဂ္ဂဋ္ဌာန်ပုဂ္ဂိုလ် လေးယောက်၊ ဖလဋ္ဌာန်ပုဂ္ဂိုလ်လေးယောက်တို့နှင့် လေးပါးကို ရရန် အားထုတ်ဆဲ ဝိပဿကပုဂ္ဂိုလ် လေးယောက်တို့ပေတည်း။
24	၁။ သုဂတိ၌သာ ဖြစ်ရန် ကိန်းသေမြဲသော၊ (တစ်နည်း) ဆင်းရဲ၏အဆုံးသို့ ရောက်ရန် ကိန်းသေမြဲသော။
25	၂။ အပ္ပမာဒေန သမ္ပာဒေထာတိ သတိအဝိပ္ပဝါသေန သဗ္ဗကိစ္စာနိ သမ္ပာဒေထ-ဟူသော အဋ္ဌကထာနှင့်အညီ သတိတရားဖြင့်ဟု ကရိုဏ်းအနက်ပြန်ဆိုထားသည်။
26	၁။ မလ္လမင်းတို့ အဘိသိက်ခံသောအခါ မကိုဋ်ဖွဲ့ဆောင်းခြင်းစသည်ဖြင့် တန်ဆာဆင်ရာဌာန ဖြစ်သော မင်းကွန်းကို ရိုသေလေးစားရာ ဌာနဖြစ်သောကြောင့် ‘မကုဋဗန္ဓနစေတီ’ဟု ခေါ်ကြောင်း အဋ္ဌကထာ ဋီကာတို့၌ ဆို၏။
27	၁။ နတ်တို့အာနုဘော်ကြောင့် တောက်လောင်သည်ကိုပင် မီးရှို့သူမထင်ရှားသောကြောင့် အလိုလိုတောက်လောင်သည်ဟု ဆိုကြောင်း အဋ္ဌကထာ၌ ဖွင့်ပြ၏။
28	၁။ သွားတော်လေးဆယ်ဟု ဆိုသော်လည်း စွယ်တော်လေးဆူမှ တစ်ပါးသော သွားတော် သုံးဆယ့်ခြောက်ဆူကိုသာလျှင် ယူရာ၏၊ ဤငါးဂါထာတို့ကို သီဟိုဠ်မထေရ်တို့ ထည့်သွင်းထားခဲ့သည်ဟု အဋ္ဌကထာ၌ ဆို၏။
29	၁။ ဤပြန်ဆိုချက်များမှာ မဟာပရိနိဗ္ဗာနသုတ်၌လာသော (၁) သတ္တရတနသမန္နဂတော (၂) ဓမ္မိကော (၃) ဓမ္မရာဇာ (၄) စက္ကဝတ္တိဟူသော ပုဒ်များအရ ပြန်ဆိုခြင်းဖြစ်၏။ အခြားသုတ်များ၌လည်း စကြဝတေးမင်းကို ပြရာ၌ ၎င်းဂုဏ်ပုဒ် လေးခုပါရှိမြဲ ဖြစ်၏၊ ဤသုတ်၌ကား ၎င်းဂုဏ်ပုဒ်တို့ မရှိမူ၍ ခတ္တိယော မုဒ္ဓါဘိသိတ္တောဟု ထူးခြားသောပုဒ်များ ရှိနေ၏၊ ထိုပုဒ်များအရ ပြန်ဆိုလျင် မြေကြီးကို အစိုးရသော ဦးထိပ်၌ အဘိသိက်သွန်းခြင်းရှိသော (မဟာသုဒဿနမည်သော) မင်းသည် ရှိ၏ဟု ပြန်ဆိုရာ၏။
30	၂။ ပေါရိသ - တသူလျှင် မဇ္ဈိမပုရိသငါးတောင်ရှိသဖြင့် သုံးသူအတွက် တစ်ဆယ့်ငါးတောင်ဟု ပြန်ဆိုထားသည်။
31	၁။ ဤ၌ ကုလလေးတာ -ဟု ခေါ်သော ဓနုတာသည် လေးတောင်ရှိ၍ ကုလလေးတာ တစ်ရာသည် အတောင်လေးရာ နှင့် ညီမျှသည်။
32	၂။ စိန်ချွန်ဟူသည် လက်ရန်းတိုင်၌ စိုက်ထောင်ထားသော အချွန်အတက်ကလေးများကို ဆိုသည်။
33	၂။ ကာမဝိတက် - ကာမဂုဏ်ကို ကြံစည်ခြင်း။
34	၃။ ဗျာပါဒဝိတက် - သူတစ်ပါးကို သေကျေပျက်စီးရန် ကြံစည်ခြင်း။
35	၄။ ဝိဟိံ သဝိတက် - သူတစ်ပါးကို ညှဉ်းဆဲရန်ကြံစည်ခြင်း။
36	၁။ သုဂတိ၌သာဖြစ်ရန် ကိန်းသေမြဲသော တစ်နည်း-ဆင်းရဲ၏အဆုံးသို့ရောက်ရန် ကိန်းသေမြဲသော။
37	၁။ ဤသို့အမှတ်ရလျက် ထိုဌာနတို့၌ တွယ်တာမှုအားကြီးသောကြောင့် အထက်နတ်ပြည်တို့၌ ဖြစ်နိုင်ငြားသော်လည်း မဖြစ်မူ၍ ဤဝေဿဝဏ်နတ်မင်း၏ အပေါင်းအဖော်အဖြစ်သို့သာလျှင် ရောက်ရလေသည်ဟုအဋ္ဌကထာ၌ ဆို၏။
38	၁။ အဝိပက္ကန္တာဟူသောပါဠိမူကွဲ အဂတာဟူသောအဠကထာမူကွဲများနှင့်အညီ ပြန်ဆိုထားသည်။
39	၁။ သုခမေဓေထဟူသော ပါဠိအရ ပြန်ဆိုထားသည်။
40	၁။ နှာတကပုဒ်ကို ကျင့်ဝတ်ပြီးဆုံးသဖြင့် ရေချိုးပြီးနောက် အခြားပုဏ္ဏားတို့နှင့်အတူ စားသောက်ခြင်းမပြုဘဲ သီးခြားနေ ထိုင်သောသူဟု အဋ္ဌကထာ၌ဖွင့်ဆို၏၊ သက္ကတအဘိဓာန်တို့၌ကား (၁) ဝိဇ္ဇာနှာတက = အတတ်ပညာအရာ၌ ပြီးဆုံးသန့် စင်ပြီးသော ပုဏ္ဏား (၂) ဝတနှာတက = ကျင့်ဝတ်အရာ၌ ပြီးဆုံး သန့်စင်ပြီးသော ပုဏ္ဏား (၃) ဥဘယနှာတက = ထိုနှစ်မျိုးလုံး ပြီးဆုံး သန့်စင်ပြီး သောပုဏ္ဏားဟူ၍ သုံးမျိုးဖော်ပြလျက် ရှိ၏။
41	၁။ ဣန္ဒသာလဂူ-တံခါဝ၌ နှံပဲပင်ရှိသောဂူ
42	၂။ (ဗေလုဝ-ဥသျှစ်သီး၊ ပဏ္ဍု-ဖျော့တော့)၊ ဥသျှစ်သီးမှည့်အဆင်းကဲ့သို့ ဖျော့တော့သော ဝါဝင်းသောအဆင်း ရှိသော နတ်စောင်း
43	၁။ မစလရွာ မာဃလုလင်ဘဝမှ စ၍ စင်ကြယ်ခြင်းကို မြင်၍ မြတ်စွာဘုရား ဤစကားကို ဆို၏ဟု အဋ္ဌကထာ၌ လာ၏။
44	၂။ ဣဿာ-မနာလိုမှု၊ မစ္ဆရိယ-ဝန်တိုမှု။
45	၃။ တဏှာ မာန ဒိဋ္ဌိဟူသော ပပဉ္စတရား သုံးပါးတွင် ဤ၌ တဏှာပပဉ္စကိုသာ လို၏ဟု အဋ္ဌကထာ၌ ဆို၏။
46	၁။ ကမ္မာသဒမ္မ-ကမ္မာသဓမ္မဟု မူနှစ်မျိုးရှိရာ ကမ္မာသဒမ္မ ရှိသည့်အလို ခြေကျားကို ဆုံးမရာ ဖြစ်သောကြောင့်ဟု ဆိုလိုသည်၊ ကမ္မာသဓမ္မ ရှိသည့်အလို ကျင့်ဝတ်ကျားကုန်သော သူတို့၏ တည်ရာဖြစ်သောကြောင့်ဟု ဆိုလိုသည်။
47	၁။ အောက်မေ့ခြင်း။
48	၂။ ဥပါဒါနက္ခန္ဒာလောကကို ဆိုသည်။
49	၃။ လိုချင်တပ်မက်ခြင်း။
50	၄။ နှလုံးမသာခြင်း။
51	၁။ ဝမ်းဗိုက်ကို ရှိုက်၍ လွှတ်ရသည်ကို ရည်၍ ထွက်လေလွှတ်သည်ကို ရှိုက်သည်ဟု ဝေါဟာရ ပြု၏။
52	၁။ ခံစားခြင်း။
53	၂။ ချမ်းသာသောခံစားခြင်း။
54	၃။ ဆင်းရဲသောခံစားခြင်း။
55	၄။ ဆင်းရဲမဟုတ် ချမ်းသာမဟုတ်သောခံစားခြင်း။
56	၁။ တပ်မက်ခြင်း။
57	၂။ အမျက်ထွက်ခြင်း။
58	၃။ တွေဝေခြင်း။
59	၄။ ကျုံ့သောစိတ်။
60	၅။ ပျံ့သောစိတ်။
61	၆။ ရူပ အရူပစိတ်။
62	၇။ ကာမာဝစရစိတ်။
63	၈။ ကာမာဝစရစိတ်။
64	၉။ ရူပ အရူပ စိတ်။
650	၁၀။  အပ္ပနာသမာဓိ ဥပစာသမာဓိရှိသော တည်ကြည်သောစိတ်။
661	၁၁။  သမာဓိနှစ်ပါးကင်းသော မတည်ကြည်သောစိတ်။
672	၁၂။  လွတ်မြောက်သောစိတ်။
68	၁၃။  မလွတ်မြောက်သောစိတ်။
69	၁။ အပိတ်အပင်တရား
70	၂။ ကာမဂုဏ်အလို
71	၃။ သူတစ်ပါးပျက်စီးစေလိုခြင်းသဘော
72	၄။ လေးလံထိုင်းမှိုင်းခြင်း။
73	၅။ ပျံ့လွင့်ခြင်း။
74	၆။ နှလုံးမသာယာခြင်း။
75	၇။ မဝေခွဲနိုင်ခြင်း။
76	၁။ မှတ်သိခြင်း။
77	၂။ ပြုပြင်စီရင်မှု အားထုတ်မှု။
78	၃။ အထူးသိမှု။
79	၁။ ဖြစ်ရာ တည်ရာ အကြောင်း
80	၁။ သစ္စာတို့ကို သိကြောင်း။
81	၂။ မဂ်ဉာဏ်၏ အကြောင်းဖြစ်သော အောက်မေ့ခြင်း။
82	၃။ မဂ်ဉာဏ်၏အကြောင်းဖြစ်သော တရားသဘောကို စူးစမ်းဆင်ခြင်ခြင်း။
83	၄။ မဂ်ဉာဏ်၏ အကြောင်းဖြစ်သော အားထုတ်ခြင်း။
84	၅။ မဂ်ဉာဏ်၏ အကြောင်းဖြစ်သော နှစ်သိမ့်ခြင်း။
85	၆။ မဂ်ဉာဏ်၏ အကြောင်းဖြစ်သော ကိုယ်စိတ်၏ ငြိမ်းချမ်းခြင်း။
86	၇။ မဂ်ဉာဏ်၏ အကြောင်းဖြစ်သော တည်ကြည်ခြင်း။
87	၈။ မဂ်ဉာဏ်၏ အကြောင်းဖြစ်သော အညီအမျှရှုခြင်း။
88	၁။ ပဋိသန္ဓေတည်နေရခြင်း။
89	၂။ အိုခြင်း။
90	၃။ သေခြင်း။
91	၄။ စိုးရိမ်ပူပန်ခြင်း။
92	၅။ ငိုကြွေးခြင်း။
93	၆။ ကိုယ်ဆင်းရဲခြင်း။
94	၇။ စိတ်ဆင်းရဲခြင်း။
95	၈။ ပြင်းစွာပူပန်ခြင်း။
96	၁၀။  ဥပါဒါန်၏ အာရုံတရားစု
97	၁။ တပ်မက်ခြင်း
98	၂။ ကာမဘုံ၌ တပ်မက်ခြင်း
99	၃။ ရူပအရူပဘုံတို့၌ တပ်မက်ခြင်း
100	၄။ ဥစ္ဆေဒဒိဋ္ဌိနှင့်တကွဖြစ်သော တပ်မက်ခြင်း
101	၅။ အဆင်း
102	၆။ အသံ
103	၇။ အနံ
104	၈။ အရသာ
105	၉။ အတွေ့အထိ
106	၁၀။  မျက်စိ၌မှီသောစိတ်
107	၁၁။  နား၌မှီသောစိတ်
108	၁၂။  နှာခေါင်း၌မှီသောစိတ်
109	၁၃။  လျှာ၌မှီသောစိတ်
110	၁၄။  ကိုယ်၌မှီသောစိတ်
111	၁၅။  မနော၌မှီသောစိတ်
112	၁၆။  မျက်စိအတွေ့
113	၁၇။  နားအတွေ့
114	၁၈။  နှာခေါင်းအတွေ့
115	၁၉။  လျှာအတွေ့
116	၂၀။  ကိုယ်အတွေ့
117	၂၁။  မနောအတွေ့
118	၂၂။  မျက်စိအတွေ့ကြောင့်ဖြစ်သော ခံစားခြင်း
119	၂၃။  နားအတွေ့ကြောင့်ဖြစ်သော ခံစားခြင်း
120	၂၄။  နှာခေါင်းအတွေ့ကြောင့်ဖြစ်သော ခံစားခြင်း
121	၂၅။  လျှာအတွေ့ကြောင့်ဖြစ်သော ခံစားခြင်း
122	၂၆။  ကိုယ်အတွေ့ကြောင့်ဖြစ်သော ခံစားခြင်း
123	၂၇။  မနောအတွေ့ကြောင့်ဖြစ်သော ခံစားခြင်း
124	၂၈။  ရူပါရုံ၌ မှတ်သားခြင်း
125	၂၉။  သဒ္ဒါရုံ၌ မှတ်သားခြင်း
126	၃၀။  ဂန္ဓာရုံ၌ မှတ်သားခြင်း
127	၃၁။  ရသာရုံ၌ မှတ်သားခြင်း
128	၃၂။  ဖောဋ္ဌဗ္ဗာရုံ၌ မှတ်သားခြင်း
129	၃၃။  ဓမ္မာရုံ၌ မှတ်သားခြင်း
130	၃၄။  ရူပါရုံ၌ စေ့ဆော်ခြင်း
131	၃၅။  သဒ္ဒါရုံ၌ စေ့ဆော်ခြင်း
132	၃၆။  ဂန္ဓာရုံ၌ စေ့ဆော်ခြင်း
133	၃၇။  ရသာရုံ၌ စေ့ဆော်ခြင်း
134	၃၈။  ဖောဋ္ဌဗ္ဗာရုံ၌ စေ့ဆော်ခြင်း
135	၃၉။  ဓမ္မာရုံ၌ စေ့ဆော်ခြင်း
136	၄၀။  ရူပါရုံ၌ တပ်မက်ခြင်း
137	၄၁။  ရူပါရုံ၌ ကြံစည်ခြင်း
138	၄၂။  ရူပါရုံ၌ သုံးသပ်ဆင်ခြင်ခြင်း
139	၄၃။  ဆင်းရဲဖြစ်ကြောင်း အရိယာတို့ သိအပ်သော အမှန်တရား
140	၁။ ဒုက္ခ၏ချုပ်ရာ အရိယာတို့ သိအပ်သော အမှန်တရား
141	၁။ ဆင်းရဲချုပ်ရာသို့ ရောက်ကြောင်း အကျင့်ဟူသော အရိယာတို့ သိအပ်သော အမှန်တရား
142	၂။ မှန်စွာသိမြင်ခြင်း
143	၃။ မှန်စွာကြံခြင်း
144	၄။ မှန်စွာပြောဆိုခြင်း
145	၅။ မှန်စွာပြုလုပ်ခြင်း
146	၆။ မှန်စွာအသက်မွေးခြင်း
147	၇။ မှန်စွာအားထုတ်ခြင်း
148	၈။ မှန်စွာအောက်မေ့ခြင်း
149	၉။ မှန်စွာတည်ကြည်ခြင်း
150	၁။ ပွတ်ခုံ ပွတ်ကြည် အစုံတည်း။
